Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
60,Potentiometer,R_Potentiometer,RV201 RV301 RV401 RV402 RV403 RV404 RV405 RV406 RV407 RV601 RV602 RV701 RV1101,100k,Potentiometer_Alpha_RD901F-40-00D_Single_Vertical,13, ,~
61,Trim-potentiometer,R_Potentiometer_Trim,RV408 RV410 RV1201 RV1202 RV1206,100k,Potentiometer_Bourns_3296W_Vertical,5, ,~
62,3 rotary switches with 4 positions,SR1712F-0204,SW1 SW2 SW4,SR1712F-0204,SR1712F_rotary_switch,3, ,
63,"Switch, dual pole double throw, separate symbols",SW_DP_on_on_on,SW1201,SW_DP_on_on_on,DPDT_mini_toggle,1, ,~
64,"Switch, single pole double throw, center OFF position",SW_SPDT_MSM,SW401,SW_SPDT_MSM,SPDT_mini_toggle,1, ,~
65,"Switch, single pole double throw",SW_SPDT,SW5,delay_bypass_switch,SPDT_mini_toggle,1, ,~
66,"Switch, dual pole double throw, separate symbols",SW_DPDT_x2,SW3,series_parallel_switch,DPDT_mini_toggle,1, ,~
67,"Dual D  FlipFlop, Set & reset",4013,U21,4013,SOIC-14_3.9x8.7mm_P1.27mm,1, ,http://www.onsemi.com/pub/Collateral/MC14013B-D.PDF
68,Hex Buffer Inverter,CD4049,U22,CD4049,TSSOP-16_4.4x5mm_P0.65mm,1, ,http://www.intersil.com/content/dam/intersil/documents/cd40/cd4049ubms.pdf
69,Dual operational amplifier,LM331,U20,LM331,DIP-8_W7.62mm_Socket,1, ,~
70,"5.000V Precision Micropower Shunt Voltage Reference, SOT-23",LM4040DBZ-5,U1407,LM4040DBZ-5,SOT-23,1, ,http://www.ti.com/lit/ds/symlink/lm4040-n.pdf
71,,MN3005,U14 U15,MN3005,DIP-8-14_W7.62mm_Socket,2, ,
72,,NE570,U11,NE570,DIP-16_W7.62mm_Socket,1, ,
73,,SSI2140,U12 U16,SSI2140,TSSOP-20_4.4x6.5mm_P0.65mm,2, ,
74,,SSI2164,U3 U10,SSI2164,SOIC-16_3.9x9.9mm_P1.27mm,2, ,https://www.soundsemiconductor.com/downloads/ssi2164datasheet.pdf
75,"Dual Low-Noise JFET-Input Operational Amplifiers, DIP-8/SOIC-8",TL072,U1 U2 U4 U5 U6 U7 U8 U9 U13 U17 U18 U19 U23 U24,TL072,SOIC-8_3.9x4.9mm_P1.27mm,14, ,http://www.ti.com/lit/ds/symlink/tl071.pdf





Project info:
Schematic:,VCF_VCA_BBD_board
Variant:,default
Revision:,1.0
Date:,2023-01-07
KiCad Version:,6.0.5+dfsg-1~bpo11+1
Statistics:
Component Groups:,75
Component Count:,349 (270 SMD/ 53 THT)
Fitted Components:,349 (270 SMD/ 53 THT)
Number of PCBs:,1
Total Components:,349
